mehulsbhatt/docker-ovs;1.10.2/Dockerfile
spohnan/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles-negative/env_no_value/Dockerfile
Clever/gearmand;Dockerfile
Zenithar/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
pengqiuyuan/opt;htdocs/Dockerfiles/redis/Dockerfile
appcelerator/amp;vendor/github.com/docker/distribution/contrib/docker-integration/Dockerfile
gtank/kubernetes;build/pause/Dockerfile
hauleth/catapult;Dockerfile
cloudflare/docker;contrib/builder/rpm/amd64/oraclelinux-6/Dockerfile
jsravn/kubernetes;cluster/mesos/docker/socat/Dockerfile
mafintosh/try-dat;Dockerfile
mko-x/docker-draw;Dockerfile
nanocad-lab/X-Mem;Dockerfile
vyshaliOrg/docker;docs/examples/mongodb/Dockerfile
lyndaoleary/docker;contrib/builder/deb/debian-stretch/Dockerfile
lyndaoleary/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
ripcurld00d/origin;images/builder/docker/custom-docker-builder/Dockerfile
technosophos/flynn;util/cedarish/Dockerfile
apeeyush/kubernetes;test/images/volumes-tester/iscsi/Dockerfile
hvescovi/kubernetes;examples/k8petstore/redis-master/Dockerfile
lavalamp/test-infra;jenkins/job-builder-image/Dockerfile
mmarcant/kubernetes;test/images/resource-consumer/Dockerfile
summershrimp/docker;docs/articles/https/Dockerfile
swagiaal/kubernetes;build/debian-iptables/Dockerfile
Symmetric/kubernetes;docs/user-guide/environment-guide/containers/show/Dockerfile
dbburgess/filter-php;tests/Dockerfile
dhirajsb/base-images;java/images/alpine/openjdk7/jre/Dockerfile
gradywang/kubernetes;build/debian-iptables/Dockerfile
jonasjonas/gentoo-bb;dock/gentoobb/images/nginx/Dockerfile.template
nuwand/carbon-apimgt;features/apimgt/org.wso2.carbon.apimgt.publisher.feature/src/main/resources/publisher/site/themes/wso2/libs/swagger-editor/Dockerfile
a-robinson/kubernetes;examples/cluster-dns/images/backend/Dockerfile
hairyhenderson/docker;man/Dockerfile.5.md
passiweinberger/nupic;Dockerfile
simonswine/kubernetes;examples/storage/hazelcast/image/Dockerfile
stefanha/qemu-patches;Dockerfile
tsaikd/docker-builder;dev-db/phpmyadmin/latest/Dockerfile
qingyuancloud/qingyuan;examples/nfs/nfs-data/Dockerfile
ramitsurana/kubernetes;examples/guestbook-go/_src/Dockerfile
xinxiaogang/kubernetes;docs/user-guide/environment-guide/containers/show/Dockerfile
laundrapp/docker-thumor;solr/Dockerfile
hinshun/docker-ember-cli;0.2.4/onbuild/Dockerfile
smw355/compose-templates;logstash/containers/logstash-config/Dockerfile
AndrewRussellHayes/Marina;resources/dockerfile_best_Practices/Best practices for writing Dockerfiles - Docker Documentation_files/dockerfile_tutorial_level.js
asimzsaeed/deploy-example;contain/node/Dockerfile
devopscenter/docker-stack;007acc-stack/web/Dockerfile
mkboudreau/docker-present;onbuild/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/nbformat/reader.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/nbformat/v2/nbjson.pyc
udzura/consul-rpm-builder;consul/0.5.0/Dockerfile
lorenzogm/openshift-origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
Scalingo/sample-node-meanjs;Dockerfile
pradeep-aradhya/Dockerfiles;NetflixAsgard/Dockerfile
mattythebatty/arastta-docker;memcached/Dockerfile
resin-io-library/base-images;device-base/cubox-i/fedora/23/Dockerfile
base2Services/ciinabox-containers;jenkins-cli/Dockerfile
scorpionis/ubuntu-kubernetes-mesos;examples/k8petstore/redis-slave/Dockerfile
sbmandava/nscale-bigdata-blue-print1;build/elasticsearch/Dockerfile
HewlettPackard/docker-machine-oneview;vendor/github.com/docker/docker/contrib/builder/rpm/amd64/centos-7/Dockerfile
cdelaitre/ci;dockerimages/tomcat8/Dockerfile
oybed/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/brimstone-consuldock/Dockerfile
ZJU-SEL/hyper;Godeps/_workspace/src/github.com/docker/docker/builder/dockerfile/parser/testfile-line/Dockerfile
merwok/docker;docs/sources/articles/https/Dockerfile
myfear/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/influxdb/Dockerfile
xiaods/docker;builder/dockerfile/parser/testfiles/docker/Dockerfile
anortef/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
stevvooe/docker;builder/dockerfile/parser/testfiles/nginx/Dockerfile
tomdean/growser;deploy/nginx/Dockerfile
browning/compose;tests/fixtures/simple-dockerfile/Dockerfile
chasebolt/docker;contrib/builder/deb/amd64/debian-wheezy/Dockerfile
shiroyuki/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
tatsuhiro-t/grpc;tools/dockerfile/grpc_ruby_base/Dockerfile
Jandersoft/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
abdokh/kubernetes;contrib/for-tests/volumes-tester/ceph/Dockerfile
arun-gupta/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
gcuisinier/docker;builder/parser/testfiles/znc/Dockerfile
EmergeAdapt/docker;memcached/Dockerfile
aprajshekhar/crane;Dockerfile
diogomonica/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
jasonpet/openwhisk;core/pythonAction/cli/Dockerfile
mauvm/doos-laravel;Dockerfile
mfanjie/kubernetes;examples/guestbook/php-redis/Dockerfile
pravisankar/origin;test/extended/testdata/custom-secret-builder/Dockerfile
uhd-urz/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
DatawiseIO/Project6;docker/zookeeper/Dockerfile
crccheck/docker-pod;tcpdump/Dockerfile
jpiccari/kubernetes;examples/job/work-queue-2/Dockerfile
morganwu277/contrib;logging/fluentd-sidecar-es/Dockerfile
csminpp/docker-1.9.1;builder/dockerfile/parser/testfiles/nginx/Dockerfile
deromka/kubernetes-1;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
foobar2github/docker;builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
gtsalles/dockerfiles;wrk/Dockerfile
helderco/dockerfiles;nginx/Dockerfile
mbukosky/GreedyFudge;Dockerfile
projectatomic/docker;docs/examples/postgresql_service.Dockerfile
saitodisse/lets-chat;docker/Dockerfile
soupdiver/kubernetes;test/images/port-forward-tester/Dockerfile
synlay/docker-erlang;18.2.1/Dockerfile
buck06191/bcmd-docker;Dockerfile
kics/docker-debian8.2;docker/Dockerfile
mariomarin/kubernetes;examples/redis/image/Dockerfile
mikea/ossfuzz-example;fuzz/Dockerfile
peter1000/dockerfiles;chrome/stable/Dockerfile
erwinvaneyk/kubernetes;cmd/libs/go2idl/go-to-protobuf/build-image/Dockerfile
ChristianBoehlke/docker;builder/dockerfile/parser/testfiles/brimstone-consuldock/Dockerfile
fabianofranz/kubernetes;cluster/mesos/docker/test/Dockerfile
linearregression/origin;vendor/k8s.io/kubernetes/examples/meteor/dockerbase/Dockerfile
guildencrantz/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
sspreitzer/fedora-docker;nginx/Dockerfile
Burmudar/docker-logtastic;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/bx_python-0.7.1-py2.7-linux-x86_64.egg/bx/align/sitemask/cpg.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/compute/fixtures/openstack_v1.1/_servers_12064_updated_name_bob.json
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/boto-2.19.0-py2.7.egg/boto/ec2/cloudwatch/alarm.pyc
smarterclayton/kubernetes;examples/redis/image/Dockerfile
codefreshdemo/heroku-docker;test/fixtures/app-json/image-specified/Dockerfile
waywardmonkeys/rust-metrics;prometheus_reporter/Dockerfile
docker-linux/utorrent-server;Dockerfile
smartb-energy/docker-angular;Dockerfile
ResilienceTesting/gremlinproxy;Dockerfile
zandbelt/mod-auth-openidc-dist;ubuntu/trusty/build/Dockerfile.in
michael-k/dockerfiles-jfrazelle;rstudio/Dockerfile
praveenkumar/Fedora-Dockerfiles;hadoop/multi_container/namenode/Dockerfile
jangaraj/zabbix-community-docker;Dockerfile/zabbix-2.4/container-files-base/etc/php-fpm.conf
brandonberney/minimalist-rainloop;Dockerfile
multiplay/zabbix-community-docker;Dockerfile/zabbix-server-2.4/container-files-zabbix/config/ds.sh
AVOXI/docker-certified-asterisk-13;slim/Dockerfile.slim
GoogleCloudPlatform/kubernetes-workshops;bundles/kubernetes-101/workshop/app/monolith/Dockerfile
afxcn/nsq;Dockerfile
brk3/kolla;docker/centos/binary/swift/swift-proxy-server/Dockerfile
ozum/flynn;router/Dockerfile
eclipse/che;plugins/plugin-docker/che-plugin-docker-client/src/main/java/org/eclipse/che/plugin/docker/client/DockerfileParser.java
imiuka/grpc;tools/dockerfile/distribtest/python_ubuntu1510_x64/Dockerfile
imiuka/grpc;tools/dockerfile/distribtest/python_fedora21_x64/Dockerfile
moquist/mal;elixir/Dockerfile
yepengxj/df;Godeps/_workspace/src/github.com/docker/distribution/contrib/docker-integration/Dockerfile
dezon/docker;builder/parser/testfiles/znc/Dockerfile
frlaugier/php;5.6/apache/Dockerfile
ghcjs/jsaddle;travis/vivid.Dockerfile
imzhulei/etcd;Dockerfile
jvgogh/docker;contrib/builder/deb/ubuntu-debootstrap-wily/Dockerfile
vbehar/origin;examples/etcd/Dockerfile
MHBauer/docker;docs/security/https/Dockerfile
malnick/docker;builder/dockerfile/parser/testfiles/znc/Dockerfile
thinkerou/grpc;tools/dockerfile/interoptest/grpc_interop_csharp/Dockerfile
bmicklea-ce/che;recipes/src/main/resources/java/standalone/db/couchbase/Dockerfile
rusenask/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
smunilla/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
Graha/kubernetes;test/images/volumes-tester/gluster/Dockerfile
fqxp/dockerfiles;mediawiki-auth/Dockerfile
jeffvance/origin;vendor/k8s.io/kubernetes/examples/meteor/dockerbase/Dockerfile
luxas/kubernetes;examples/guestbook/redis-slave/Dockerfile
numenta-ci/nupic;Dockerfile-complete
stackforge/kolla;docker/swift/swift-rsyncd/Dockerfile.j2
Jumpscale/dockers;js8/x86_64/01_alpine/_archive/Dockerfile
akrzos/cfme_tests;dockerfiles/cfme_tests_base/Dockerfile
eghobo/kubernetes;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
elgalu/docker-mon;Dockerfile
geseib/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
mohitsoni/compose;Dockerfile
murgatroid99/grpc;tools/dockerfile/distribtest/csharp_jessie_x64/Dockerfile
tnguyen-rh/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/flags/Dockerfile
vmware/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
vsimon/kubernetes;contrib/for-tests/volumes-tester/nfs/Dockerfile
humblec/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
maximkulkin/docker;docs/examples/mongodb/Dockerfile
online-net/c14-cli;vendor/github.com/docker/docker/contrib/builder/deb/armhf/debian-jessie/Dockerfile
twillouer/mydocker;java/Dockerfile
CTiPKA/scikit-flask;Dockerfile
amos6224/kubernetes;cluster/mesos/docker/test/Dockerfile
ghedsouza/snakebite;scripts/Dockerfile
infrabricks/tomcat8;Dockerfile.status
sacharya/kubernetes;build/pause/Dockerfile
tomzhang/kubernetes;examples/guestbook/php-redis/Dockerfile
AnselZhangGit/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
CoolProp/Dockerfiles;manylinux/64bit/Dockerfile
dongjoon-hyun/docker;contrib/builder/deb/amd64/debian-stretch/Dockerfile
jimmidyson/minishift;vendor/github.com/docker/docker/contrib/builder/deb/ubuntu-debootstrap-vivid/Dockerfile
phnmnl/workflow-demo;OpenMS/OpenMSDockers/InspectAdapter/Dockerfile
scraperwiki/hanoverd;example/separate-build-run/Dockerfile
torcato/docker-spark;dns/Dockerfile
RavenB/Z-Push-contrib;docker/nginx/Dockerfile
cantbewong/kubernetes;test/images/volumes-tester/nfs/Dockerfile
clintonskitson/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
infoslack/dockerfiles;lynx/Dockerfile
johnnagro/dockerfiles;heroku-toolbelt/Dockerfile
chenrui2014/kubernetes;cluster/addons/dns/kube2sky/Dockerfile
inn1983/docker-builder;www-servers/apache/php/5/Dockerfile
matthewrudy/kubernetes;cluster/addons/addon-manager/Dockerfile
maxamillion/kubernetes;hack/gen-swagger-doc/Dockerfile
thrasher-redhat/origin;images/release/Dockerfile
toolmantim/vcc-website;Dockerfile
xxaxxelxx/xx_reflector;Dockerfile
NunoEdgarGub1/kubernetes;examples/celery-rabbitmq/celery-app-add/Dockerfile
TencentSA/kubernetes-0.5;examples/guestbook-go/_src/guestbook/Dockerfile
marun/Fedora-Dockerfiles;mongodb/Dockerfile
meldeapp/meldeapp-server;Dockerfile
sauloaldocker/containers;Comet/2015011/Dockerfile
sebastianscatularo/dokku;tests/apps/dockerfile/Dockerfile
Byteflair/postgres-docker;9.3/Dockerfile
GrupaZero/docker-platform;v1/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/saga_python-0.18-py2.7.egg/saga/advert/constants.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/html/static/components/codemirror/mode/haxe/haxe.js
rickdesantis/docker-files;clpplus/Dockerfile
romanchyla/adsabs-vagrant;dockerfiles/zookeeper/Dockerfile
LalatenduMohanty/kubernetes;examples/k8petstore/redis-slave/Dockerfile
monitoringartist/zabbix-xxl;Dockerfile/zabbix-xxl/container-files-zabbix-xxl/usr/local/src/zabbix/frontends/php/searcher/assets/donate-button2.png
monkeysecurity/zerotodocker;security_monkey/0.3.4/security_monkey-apiinit/Dockerfile
netflash/ghost-buster-docker;build/nginx/Dockerfile
resin-io-library/base-images;python/ts7700/debian/3.3/Dockerfile
robdeadtech/exoskeleton-chef;cookbooks/system/Dockerfile.mutable
spinolacastro/source-to-image;test/integration/images/sti-fake-env/Dockerfile
rydnr/set-square-phusion-images;postgresql-bootstrap/Dockerfile.template
mparker17/docker-solr-apachesolr;Dockerfile
frosenberg/go-cloud-stream-modules;go-http-source/Godeps/_workspace/src/github.com/stealthly/go_kafka_client/Dockerfile.mirrormaker
rac021/blazegraph_1_5_3_cluster_2_nodes;Docker/Dockerfile
fiwareulpgcmirror-org/webui.fi-ware-2d-ui;docker/Dockerfile
codenvy/che;plugins/plugin-docker/che-plugin-docker-client/src/test/java/org/eclipse/che/plugin/docker/client/DockerfileParserTest.java
qzio/docker;builder/dockerfile/parser/testfiles/cpuguy83-nagios/Dockerfile
Huaraz2/atom;build/debian/Dockerfile
ryanj/origin;examples/zookeeper/Dockerfile
dqminh/docker;builder/parser/testfiles/mumble/Dockerfile
qnib/u-consul;Dockerfile
ronin13/capem;docker/Dockerfile.centos7-64
vbehar/origin;pkg/util/docker/dockerfile/builder/testdata/Dockerfile.add
EricPai/docker;vendor/src/github.com/docker/distribution/Dockerfile
octoblu/tattle;Dockerfile
podsvirov/grpc;tools/dockerfile/distribtest/csharp_ubuntu1404_x64/Dockerfile
rancher/docker;Dockerfile.ppc64le
Akasurde/docker;Dockerfile.gccgo
POLJM242/docker;contrib/host-integration/Dockerfile.min
TSlean/platform;docker/local/Dockerfile
implydata/druid;integration-tests/docker/Dockerfile
rhvgoyal/atomic;tests/test-images/Dockerfile.1
endophage/docker;contrib/builder/deb/amd64/ubuntu-wily/Dockerfile
krzyzacy/contrib;ingress/controllers/nginx-alpha/Dockerfile
rahulunair/kolla;docker/centos/source/designate/designate-backend-bind9-data/Dockerfile
stannie42/docker;docs/examples/running_riak_service.Dockerfile
eosrei/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
kathir2903/docker;contrib/httpserver/Dockerfile
lelezi/kubernetes;examples/spark/images/master/Dockerfile
nicholaskh/docker;builder/parser/testfiles/escapes/Dockerfile
petemoore/funsize;docker/funsize-balrog-submitter/Dockerfile
rtatol/Wappalyzer;docker/Dockerfile
rubenv/kubernetes;test/images/mount-tester-user/Dockerfile
wu8685/kubernetes;cluster/images/kubemark/Dockerfile
zoosky/kubernetes;examples/guestbook/php-redis/Dockerfile
ruizeng/kubernetes;Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile
vallard/kubernetes;examples/k8petstore/web-server/Dockerfile
xiaohui/kubernetes;examples/job/work-queue-1/Dockerfile
compgen-io/genelist;scripts/Dockerfile.app
docteurklein/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
fabric8io/gofabric8;vendor/github.com/kubernetes/minikube/deploy/docker/Dockerfile
olsonbg/webui-aria2;Dockerfile
stvoutsin/pyrothorn;Dockerfile
gestiweb/docker-base;lamp/mariadb10-server/Dockerfile
markllama/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
philmui/flask-trusty;Dockerfile
ravigadde/kubernetes;examples/spark/images/base/Dockerfile
saturnism/kubernetes;cluster/mesos/docker/test/Dockerfile
zekna/emoji-spelling;Dockerfile
a-robinson/kubernetes;examples/kubectl-container/Dockerfile
dpfg/kicker-scorer-ui;Dockerfile
spikewilliams/spydock;base/Dockerfile
skarnecki/docker-vault;Dockerfile
xpbcreator/pebbleminer;Dockerfile
abrarshivani/kubernetes;build/build-image/Dockerfile
socketplane/socketplane;Dockerfile
piappl/ros2_benchmarking;docker/ros2_connext/Dockerfile
poppingtonic/dockerfiles;pandoc/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/interpolate/_monotone.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/SQLAlchemy-0.9.7-py2.7-linux-x86_64.egg/sqlalchemy/sql/__init__.py
timmahoney/docker-ansible;Dockerfile
abhishekamralkar/kubernetes;contrib/for-tests/porter/Dockerfile
cloudawan/cloudone_template;cloudone/cloudone_gui/Dockerfile
rimusz/coreos-essentials-book;Chapter7/Test_Staging_Cluster/files/Dockerfile
GoogleCloudPlatform/php-docker;testapps/php56_70/Dockerfile
zabbix/zabbix-community-docker;Dockerfile/zabbix-2.4/container-files-zabbix/etc/supervisor.d/zabbix-server.conf
jangaraj/zabbix-community-docker;Dockerfile/zabbix-3.0/container-files-base/etc/nginx/conf.d/default-20-common-files.conf
upspeck/docker-xvfb-browser-gradle;firefox/Dockerfile
AlphaStaxLLC/rackspace-monitoring-agent;Dockerfile
clive-jevons/mqtt-elasticsearch-forwarding;python/Dockerfile
alban/scope;vendor/runsvinit/zombietest/build/Dockerfile
gs11/docker;builder/parser/testfiles/znc/Dockerfile
fichter/grpc;tools/dockerfile/grpc_python_base/Dockerfile
tianon/moxie;Dockerfile
upmio/docker;Dockerfile.windows
AmeBel/docker;buildbot/slaves/latest/Dockerfile
cyphar/docker;vendor/src/github.com/docker/notary/signer.Dockerfile
glycerine/rmq;src/vendor/golang.org/x/net/http2/Dockerfile
jvgogh/docker;builder/parser/testfiles/weechat/Dockerfile
wcwxyz/docker;builder/dockerfile/parser/testfiles/brimstone-consuldock/Dockerfile
100star/docker;builder/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
haugene/docker;builder/dockerfile/parser/testfiles/brimstone-docker-consul/Dockerfile
mml/kubernetes;examples/celery-rabbitmq/celery-app-add/Dockerfile
yyljlyy/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
HackToday/kolla;docker_templates/swift/swift-account-server/Dockerfile.j2
crackcomm/crawl;nsq/consumer/skeleton/Dockerfile
robertol/origin;Godeps/_workspace/src/github.com/docker/distribution/contrib/compose/nginx/Dockerfile
tophj-ibm/docker;contrib/builder/rpm/amd64/opensuse-13.2/Dockerfile
alecbenson/docker;contrib/builder/deb/ubuntu-debootstrap-precise/Dockerfile
cloudflare/docker;builder/dockerfile/parser/testfiles/escape-nonewline/Dockerfile
devmeyster/docker;contrib/syntax/textmate/Docker.tmbundle/Preferences/Dockerfile.tmPreferences
jlebon/kubernetes;contrib/for-tests/volumes-tester/rbd/Dockerfile
sw1nn/dockerfiles;cassandra/Dockerfile
vlajos/kubernetes;examples/guestbook-go/_src/Dockerfile
OpSitters/ragnarok;unison/Dockerfile
Ye-Yong-Chi/docker;Dockerfile
astaxie/2014-talks;bradfitz/earlygo/Dockerfile
