mehulsbhatt/docker-ovs;1.10.2/Dockerfile
LaynePeng/docker;vendor/src/github.com/docker/notary/Dockerfile
ajaymdesai/docker;docs/examples/mongodb/Dockerfile
jasonbrooks/kolla;docker/hautoproxy/Dockerfile
mYmNeo/kubernetes;build/build-image/cross/Dockerfile
naelyn/kubernetes;test/images/porter/Dockerfile
ngpestelos/docker;contrib/builder/rpm/centos-6/Dockerfile
virajs/kubernetes;cluster/addons/dns/kube2sky/Dockerfile
LaatuGroup/dockers;ssh/0.1/Dockerfile
MatMaul/kubernetes;test/images/volumes-tester/gluster/Dockerfile
Stockflare/shotgun;Dockerfile
cc272309126/docker;builder/parser/testfiles/nginx/Dockerfile
murraju/kubernetes;docs/user-guide/environment-guide/containers/show/Dockerfile
paralin/kubernetes;examples/explorer/Dockerfile
flexiant/kubernetes;test/images/volumes-tester/rbd/Dockerfile
lordzero0000/docker;docs/Dockerfile
matrix-stone/docker;contrib/builder/deb/ubuntu-precise/Dockerfile
sacharya/kubernetes;examples/guestbook-go/_src/guestbook/Dockerfile
serbrech/containers;docker-web/Dockerfile
tonymwinters/docker;builder/parser/testfiles/mail/Dockerfile
AustinErlang/RESTapi;Dockerfile
adriaandejonge/nomad;client/driver/test-resources/docker/Dockerfile
Samsung-AG/kubernetes;examples/phabricator/php-phabricator/Dockerfile
ocsbrandon/kubernetes;examples/guestbook/redis-slave/Dockerfile
Huawei-PaaS/kubernetes;examples/celery-rabbitmq/flower/Dockerfile
OrienteerBAP/Orienteer;Dockerfile
SamuelMarks/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
rheinwein/debian-rails;Dockerfile
KHP-Informatics/ngseasy;containerized/ngseasy_dockerfiles/ngs_utils/ngseasy_root/Dockerfile
bluepeppers/highhockwho;Dockerfile
duncanfinney/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
wellic/docker-webserver;logrotate/Dockerfile
ilidiomartins/kubernetes;examples/https-nginx/Dockerfile
shashidharatd/kubernetes;examples/storage/hazelcast/image/Dockerfile
elsonrodriguez/kubernetes;examples/guestbook-go/_src/Dockerfile
moul/docker-armhf-busybox;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/pysplicing/__init__.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/datasets/copper/src/copper.dat
joshgoodson/voting-machine;Dockerfile
nbuechler/einstein-network;Dockerfile
ionutcipriananescu/python-1;3.2/Dockerfile
joprice/scylla-tools-docker;Dockerfile
samuelololol/BuildbotDocker;test/buildbotdockertests/Dockerfile
resin-io-library/base-images;golang/odroid-ux3/alpine/1.6/edge/Dockerfile
andreilaza/alt-be-back-server;Dockerfile
stackhub/service-elasticsearch;1.2/Dockerfile
instajams/elixir-docker-kitematic;Dockerfile
cloudfoundry-incubator/lattice-release;src/github.com/docker/docker/builder/parser/testfiles/env/Dockerfile
dpwspoon/kaazing.configuration.examples;dockerized.gateway/Dockerfile
kwk/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
NSmeef/blog;dockerfiles/jekyll/Dockerfile
Red5/docker;oraclejdk7-red5-105S/Dockerfile
apolcyn/grpc;tools/dockerfile/distribtest/python_jessie_x86/Dockerfile
contiv/docker;contrib/builder/deb/amd64/debian-jessie/Dockerfile
oskopek/carcv;Dockerfile
rao1219/Vedio;node_modules/sequelize/Dockerfile
soltanmm/grpc;tools/dockerfile/test/cxx_jessie_x86/Dockerfile
algra/pact-jvm;pact-jvm-server/Dockerfile
oceanwu/docker;contrib/builder/deb/debian-jessie/Dockerfile
